program,target_module,coverage,branch_coverage,line_coverage,parsed_statements,parsable_statements,uninterp_statements,llm_calls,llm_query_time,llm_stage_saved_tests,accessible_objects_under_test,code_objects
2DJacobiPoissonSolver,example,0.6636363636363636,0.7272727272727273,0.6,27,54,0,27,106.12266230583191,4,1,2
AlgoExtra_arithmetic_is_arithmetic_series_047,example,0.9467787114845938,0.9411764705882353,0.9523809523809523,35,35,0,7,154.026465177536,,2,3
AlgoExtra_bailey_borwein_plouffe_bailey_borwein_plouffe_056,example,1.0,1.0,1.0,0,0,0,,,,1,3
AlgoExtra_basic_maths_number_of_divisors_046,example,1.0,1.0,1.0,0,0,0,,,,4,5
AlgoExtra_basic_maths_prime_factors_048,example,1.0,1.0,1.0,0,0,0,,,,4,5
AlgoExtra_basic_maths_sum_of_divisors_026,example,1.0,1.0,1.0,0,0,0,,,,4,5
AlgoExtra_binomial_coefficient_binomial_coefficient_034,example,0.8948717948717949,0.8666666666666667,0.9230769230769231,0,0,0,,,,1,3
AlgoExtra_binomial_distribution_binomial_distribution_028,example,0.8976190476190476,0.8666666666666667,0.9285714285714286,82,82,20,18,115.97653841972351,44,1,2
AlgoExtra_bisection_bisection_023,example,0.2215909090909091,0.125,0.3181818181818182,13,21,0,11,161.6765742301941,2,2,3
AlgoExtra_bisection_interval_replacement,example,0.930952380952381,0.9333333333333333,0.9285714285714286,54,54,0,11,111.08547258377075,1,1,2
AlgoExtra_casimir_effect_casimir_force_012,example,0.9481481481481482,0.9333333333333333,0.9629629629629629,48,48,18,18,102.66599893569946,,1,2
AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021,example,0.9540051679586563,0.9302325581395349,0.9777777777777777,0,0,0,,,,7,12
AlgoExtra_cramers_rule_2x2_cramers_rule_2x2_031,example,0.9084668192219679,0.8695652173913043,0.9473684210526315,40,40,0,12,191.62646579742432,31,1,2
AlgoExtra_entropy_calculate_prob_032,example,1.0,1.0,1.0,0,0,0,,,,3,4
AlgoExtra_eulers_totient_totient_044,example,0.9666666666666667,0.9333333333333333,1.0,0,0,0,,,,1,4
AlgoExtra_extended_euclidean_algorithm_extended_euclidean_algorithm_035,example,0.844047619047619,0.8666666666666667,0.8214285714285714,0,4,0,7,118.58717679977417,1,2,3
AlgoExtra_factors_factors_of_a_number_049,example,1.0,1.0,1.0,0,0,0,,,,1,2
AlgoExtra_find_min_find_min_recursive_038,example,1.0,1.0,1.0,0,0,0,,,,2,3
AlgoExtra_gamma_gamma_recursive_036,example,1.0,1.0,1.0,0,0,0,,,,3,4
AlgoExtra_gaussian_elimination_pivoting_solve_linear_system_006,example,0.12246963562753037,0.05263157894736842,0.19230769230769232,60,66,0,13,110.33860182762146,1,1,2
AlgoExtra_geometric_is_geometric_series_024,example,1.0,1.0,1.0,0,0,0,,,,2,3
AlgoExtra_geometric_mean_compute_geometric_mean_014,example,0.9666666666666667,0.9333333333333333,1.0,32,48,0,16,113.30521988868713,1,1,2
AlgoExtra_hamming_numbers_hamming_041,example,0.8947368421052632,0.7894736842105263,1.0,0,0,0,,,,1,2
AlgoExtra_hardy_ramanujanalgo_exact_prime_factor_count_027,example,0.9473684210526316,0.8947368421052632,1.0,0,0,0,,,,1,2
AlgoExtra_harmonic_is_harmonic_series_010,example,1.0,1.0,1.0,0,0,0,,,,2,3
AlgoExtra_harshad_numbers_int_to_base_039,example,1.0,1.0,1.0,30,30,0,10,85.61751890182495,23,4,7
AlgoExtra_horizontal_projectile_motion_check_args_051,example,0.925,0.85,1.0,30,45,0,18,108.19817852973938,,5,6
AlgoExtra_integer_square_root_integer_square_root_018,example,0.9666666666666667,0.9333333333333333,1.0,16,16,0,16,113.89089345932007,,1,2
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,example,0.8846153846153846,0.8461538461538461,0.9230769230769231,4,4,0,15,109.6048686504364,25,1,2
AlgoExtra_jaccard_similarity_jaccard_similarity_016,example,1.0,1.0,1.0,0,0,0,,,,1,4
AlgoExtra_lu_decomposition_lower_upper_decomposition_030,example,0.13636363636363635,0.09090909090909091,0.18181818181818182,50,55,0,15,108.94679117202759,,1,2
AlgoExtra_matrix_bandwidth_replacement,example,0.98,0.96,1.0,117,117,0,18,113.97623038291931,47,1,2
AlgoExtra_matrix_based_game_find_repeat_045,example,0.8990990990990991,0.8648648648648649,0.9333333333333333,51,51,0,12,104.51336669921875,24,10,15
AlgoExtra_matrix_based_game_move_y_029,example,0.7100600600600601,0.6756756756756757,0.7444444444444445,36,36,0,10,110.0795385837555,17,10,15
AlgoExtra_matrix_equalization_array_equalization_040,example,0.8952991452991452,0.8461538461538461,0.9444444444444444,16,16,0,16,136.82239317893982,2,1,2
AlgoExtra_matrix_multiplication_recursion_matrix_multiply_recursive_017,example,1.0,1.0,1.0,0,0,0,,,,3,10
AlgoExtra_newton_raphson_newton_raphson_055,example,0.5926573426573426,0.45454545454545453,0.7307692307692307,16,30,4,14,113.9815685749054,3,2,4
AlgoExtra_newtons_law_of_gravitation_gravitational_law_007,example,0.5694736842105264,0.5789473684210527,0.56,55,55,0,18,107.6316249370575,14,1,2
AlgoExtra_pascal_triangle_generate_pascal_triangle_optimized_057,example,0.9142857142857143,0.8857142857142857,0.9428571428571428,0,0,0,,,,6,9
AlgoExtra_perfect_cube_perfect_cube_binary_search_043,example,0.9642857142857143,0.9285714285714286,1.0,32,32,0,16,105.32547044754028,,2,3
AlgoExtra_pi_generator_calculate_pi_054,example,0.9297619047619048,0.9166666666666666,0.9428571428571428,26,29,0,20,105.98030281066895,24,2,3
AlgoExtra_pollard_rho_pollard_rho_011,example,1.0,1.0,1.0,20,20,0,10,63.144673109054565,,1,3
AlgoExtra_polynomial_degree_replacement,example,1.0,1.0,1.0,0,0,0,,,,1,2
AlgoExtra_power_iteration_power_iteration_015,example,0.8636363636363636,0.7272727272727273,1.0,7,7,0,17,107.43067073822021,,2,3
AlgoExtra_prime_gap_classifier_replacement,example,1.0,1.0,1.0,21,21,0,10,74.3892080783844,14,1,2
AlgoExtra_proth_number_proth_019,example,0.9302059496567505,0.9130434782608695,0.9473684210526315,0,0,0,,,,2,3
AlgoExtra_segmented_sieve_sieve_003,example,0.9444444444444444,0.8888888888888888,1.0,0,0,0,,,,1,2
AlgoExtra_shear_stress_shear_stress_022,example,0.8901098901098901,0.9230769230769231,0.8571428571428571,20,20,0,20,104.24862432479858,14,1,2
AlgoExtra_sieve_of_eratosthenes_prime_sieve_013,example,1.0,1.0,1.0,0,0,0,,,,1,2
AlgoExtra_simultaneous_linear_equation_solver_simplify_008,example,0.9708557255064076,0.9661016949152542,0.975609756097561,30,30,0,15,108.92415356636047,26,2,6
AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001,example,0.9393344357172385,0.9152542372881356,0.9634146341463414,100,100,0,17,114.21225380897522,17,2,6
AlgoExtra_solovay_strassen_primality_test_jacobi_symbol_020,example,0.9655172413793104,0.9655172413793104,0.9655172413793104,0,0,0,,,,2,3
AlgoExtra_solovay_strassen_primality_test_solovay_strassen_042,example,1.0,1.0,1.0,0,0,0,,,,2,3
AlgoExtra_three_sum_three_sum_005,example,0.9516129032258065,0.9032258064516129,1.0,184,184,14,20,112.71606636047363,51,1,2
AlgoExtra_triplet_sum_triplet_sum2_050,example,0.9467787114845938,0.9523809523809523,0.9411764705882353,24,24,0,16,119.5154037475586,12,4,6
AlgoExtra_vector_projection_replacement,example,1.0,1.0,1.0,0,0,0,,,,1,2
AlgoExtra_weierstrass_method_weierstrass_method_053,example,0.95,1.0,0.9,18,30,3,9,75.87851285934448,,1,4
AlgoExtra_weird_number_semi_perfect_025,example,1.0,1.0,1.0,0,0,0,,,,4,7
CG_general,example,0.19808743169398907,0.16666666666666666,0.22950819672131148,56,129,0,20,93.2706081867218,3,3,8
CodaCover_ansible_mathstuff,example,0.8653007846556233,0.8387096774193549,0.8918918918918919,93,101,0,25,113.26182818412781,4,3,4
CodaCover_ansible_stats,example,0.6095334685598377,0.5294117647058824,0.6896551724137931,5,5,0,16,114.17713689804077,2,3,5
CodaCover_flutes_math,example,1.0,1.0,1.0,0,0,0,,,,2,3
CodaCover_keras_activations,example,0.8833333333333333,0.8666666666666667,0.9,130,148,0,15,117.53970146179199,6,2,3
CodaCover_keras_losses,example,1.0,1.0,1.0,33,34,0,10,100.10363864898682,14,2,3
CodaCover_matplotlib_bezier,example,0.41666666666666663,0.3333333333333333,0.5,119,126,0,22,114.3285162448883,13,2,3
CodaCover_matplotlib_colors,example,1.0,1.0,1.0,32,34,0,20,104.58806657791138,2,2,3
CodaCover_matplotlib_scale,example,0.943939393939394,0.9333333333333333,0.9545454545454546,46,50,0,19,118.83764886856079,8,2,3
CodaCover_matplotlib_ticker,example,0.9761904761904762,0.9523809523809523,1.0,12,12,0,17,126.9034206867218,17,2,3
CodaCover_matplotlib_transform,example,0.6933333333333334,0.6666666666666666,0.72,47,49,0,14,112.79244112968445,22,2,3
CodaCover_matplotlib_triangles,example,0.8011363636363636,0.7272727272727273,0.875,133,173,0,21,121.41794896125793,26,2,3
CodaCover_mimesis_random,example,0.9576719576719577,0.9523809523809523,0.9629629629629629,0,6,0,19,117.64494848251343,1,2,3
