program,category,return_code,generated_tests,main_nontrivial_lines,failing_nontrivial_lines,llm_generation_count,coverage,branch_coverage,line_coverage,llm_calls,llm_stage_saved_tests
2DJacobiPoissonSolver,nontrivial,0,2,17,25,130,0.7878787878787878,0.9090909090909091,0.6666666666666666,50,2
CG_general,empty_main,0,2,1,44,181,0.19808743169398907,0.16666666666666666,0.22950819672131148,61,3
EigenvalueSolvers,empty_main,0,2,0,42,155,0.31585081585081587,0.2727272727272727,0.358974358974359,34,
euler_diffusion,empty_main,0,2,0,24,10,1.0,1.0,1.0,10,
GaussianElimination1,empty_main,0,2,0,11,40,0.47916666666666663,0.3333333333333333,0.625,40,
GaussianElimination2,failed,1,0,0,0,15,,,,,
GaussianElimination3,empty_main,0,2,0,6,34,0.2222222222222222,0.1111111111111111,0.3333333333333333,34,
integrator1,nontrivial,1,0,46,200,10,0.6174242424242424,0.5909090909090909,0.6439393939393939,10,13
integrator2,failed,137,0,0,0,60,,,,,
integrator3,failed,1,0,0,0,10,,,,,
integrator4,empty_main,0,2,0,6,70,0.41666666666666663,0.3333333333333333,0.5,70,1
integrator5,failed,1,0,0,0,10,,,,,
integrator6,nontrivial,0,2,4,0,94,0.12333333333333332,0.08,0.16666666666666666,94,11
LeastSquareFitting1,empty_main,0,2,1,6,70,0.875,1.0,0.75,70,1
LeastSquareFitting2,empty_main,0,2,1,22,77,0.9166666666666667,1.0,0.8333333333333334,77,1
LeastSquareFitting3,empty_main,0,2,0,13,60,0.7777777777777778,1.0,0.5555555555555556,60,
Linear_equation1,nontrivial,0,2,4,43,70,1.0,1.0,1.0,70,
Linear_equation2,nontrivial,0,2,19,14,50,1.0,1.0,1.0,50,1
Linear_equation3,nontrivial,0,2,19,19,70,0.8981972428419936,0.8695652173913043,0.926829268292683,70,1
Linear_equation4,nontrivial,0,2,5,30,63,0.8590909090909091,0.8181818181818182,0.9,63,
Linear_equation5,nontrivial,0,2,15,12,60,0.4926739926739927,0.46153846153846156,0.5238095238095238,60,1
Linear_equation6,nontrivial,0,2,4,11,60,0.20056899004267426,0.15789473684210525,0.24324324324324326,60,1
LUDecompositionSolver,nontrivial,0,2,12,68,60,1.0,1.0,1.0,60,2
MatrixExponential1,empty_main,0,2,0,11,60,0.5,0.5,0.5,60,
MatrixExponential2,empty_main,0,2,0,6,60,0.3484848484848485,0.3333333333333333,0.36363636363636365,60,
MatrixExponential3,empty_main,0,2,0,6,60,0.34523809523809523,0.3333333333333333,0.35714285714285715,60,
qr_decomposition,empty_main,0,2,0,8,0,1.0,1.0,1.0,,
Runge_Kutta,empty_main,0,2,0,7,0,1.0,1.0,1.0,,
solve_equation1,empty_main,0,2,0,7,50,0.2094017094017094,0.1111111111111111,0.3076923076923077,50,
solve_equation2,empty_main,0,2,1,7,58,0.16666666666666669,0.1,0.23333333333333334,58,1
SparseFiniteDifferenceSolver,nontrivial,-1,0,9,7,0,0.987012987012987,0.974025974025974,1.0,,
Trapezoidal Rule,failed,1,0,0,0,10,,,,,
VectorCalculator1,empty_main,0,2,0,12,70,0.9,0.8,1.0,70,
VectorCalculator2,nontrivial,0,2,5,14,0,1.0,1.0,1.0,,
VectorCalculator3,nontrivial,0,2,6,12,0,1.0,1.0,1.0,,
VectorCalculator4,nontrivial,-1,0,21,23,10,1.0,1.0,1.0,10,2
