program,example_branch_cover_pct,notes
AlgoExtra_arithmetic_is_arithmetic_series_047,100.00,AlgoExtra_arithmetic_is_arithmetic_series_047	100.00 | OK
AlgoExtra_bailey_borwein_plouffe_bailey_borwein_plouffe_056,100.00,AlgoExtra_bailey_borwein_plouffe_bailey_borwein_plouffe_056	100.00 | OK
AlgoExtra_basic_maths_number_of_divisors_046,100.00,AlgoExtra_basic_maths_number_of_divisors_046	100.00 | OK
AlgoExtra_basic_maths_prime_factors_048,100.00,AlgoExtra_basic_maths_prime_factors_048	100.00 | OK
AlgoExtra_basic_maths_sum_of_divisors_026,100.00,AlgoExtra_basic_maths_sum_of_divisors_026	100.00 | OK
AlgoExtra_binomial_coefficient_binomial_coefficient_034,100.00,AlgoExtra_binomial_coefficient_binomial_coefficient_034	100.00 | OK
AlgoExtra_binomial_distribution_binomial_distribution_028,77.27,AlgoExtra_binomial_distribution_binomial_distribution_028	77.27 | OK
AlgoExtra_bisection_bisection_023,21.21,AlgoExtra_bisection_bisection_023	21.21 | OK
AlgoExtra_bisection_interval_replacement,100.00,AlgoExtra_bisection_interval_replacement	100.00 | OK
AlgoExtra_casimir_effect_casimir_force_012,94.59,AlgoExtra_casimir_effect_casimir_force_012	94.59 | OK
AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021,88.71,AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021	88.71 | OK
AlgoExtra_cramers_rule_2x2_cramers_rule_2x2_031,93.10,AlgoExtra_cramers_rule_2x2_cramers_rule_2x2_031	93.10 | OK
AlgoExtra_entropy_calculate_prob_032,96.00,AlgoExtra_entropy_calculate_prob_032	96.00 | OK
AlgoExtra_eulers_totient_totient_044,96.15,AlgoExtra_eulers_totient_totient_044	96.15 | OK
AlgoExtra_extended_euclidean_algorithm_extended_euclidean_algorithm_035,77.50,AlgoExtra_extended_euclidean_algorithm_extended_euclidean_algorithm_035	77.50 | OK
AlgoExtra_factors_factors_of_a_number_049,100.00,AlgoExtra_factors_factors_of_a_number_049	100.00 | OK
AlgoExtra_find_max_find_max_recursive_037,100.00,AlgoExtra_find_max_find_max_recursive_037	100.00 | OK
AlgoExtra_find_min_find_min_recursive_038,100.00,AlgoExtra_find_min_find_min_recursive_038	100.00 | OK
AlgoExtra_gamma_gamma_recursive_036,100.00,AlgoExtra_gamma_gamma_recursive_036	100.00 | OK
AlgoExtra_gaussian_elimination_pivoting_solve_linear_system_006,95.12,AlgoExtra_gaussian_elimination_pivoting_solve_linear_system_006	95.12 | OK
AlgoExtra_geometric_is_geometric_series_024,100.00,AlgoExtra_geometric_is_geometric_series_024	100.00 | OK
AlgoExtra_geometric_mean_compute_geometric_mean_014,100.00,AlgoExtra_geometric_mean_compute_geometric_mean_014	100.00 | OK
AlgoExtra_hamming_numbers_hamming_041,100.00,AlgoExtra_hamming_numbers_hamming_041	100.00 | OK
AlgoExtra_hardy_ramanujanalgo_exact_prime_factor_count_027,100.00,AlgoExtra_hardy_ramanujanalgo_exact_prime_factor_count_027	100.00 | OK
AlgoExtra_harmonic_is_harmonic_series_010,100.00,AlgoExtra_harmonic_is_harmonic_series_010	100.00 | OK
AlgoExtra_harshad_numbers_int_to_base_039,100.00,AlgoExtra_harshad_numbers_int_to_base_039	100.00 | OK
AlgoExtra_horizontal_projectile_motion_check_args_051,83.78,AlgoExtra_horizontal_projectile_motion_check_args_051	83.78 | OK
AlgoExtra_integer_square_root_integer_square_root_018,100.00,AlgoExtra_integer_square_root_integer_square_root_018	100.00 | OK
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,21.74,AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033	21.74 | OK
AlgoExtra_jaccard_similarity_jaccard_similarity_016,100.00,AlgoExtra_jaccard_similarity_jaccard_similarity_016	100.00 | OK
AlgoExtra_lu_decomposition_lower_upper_decomposition_030,100.00,AlgoExtra_lu_decomposition_lower_upper_decomposition_030	100.00 | OK
AlgoExtra_matrix_bandwidth_replacement,68.75,AlgoExtra_matrix_bandwidth_replacement	68.75 | OK
AlgoExtra_matrix_based_game_find_repeat_045,75.36,AlgoExtra_matrix_based_game_find_repeat_045	75.36 | OK
AlgoExtra_matrix_based_game_move_y_029,62.32,AlgoExtra_matrix_based_game_move_y_029	62.32 | OK
AlgoExtra_matrix_equalization_array_equalization_040,100.00,AlgoExtra_matrix_equalization_array_equalization_040	100.00 | OK
AlgoExtra_matrix_multiplication_recursion_matrix_multiply_recursive_017,100.00,AlgoExtra_matrix_multiplication_recursion_matrix_multiply_recursive_017	100.00 | OK
AlgoExtra_newton_raphson_newton_raphson_055,62.96,AlgoExtra_newton_raphson_newton_raphson_055	62.96 | OK
AlgoExtra_newtons_law_of_gravitation_gravitational_law_007,95.12,AlgoExtra_newtons_law_of_gravitation_gravitational_law_007	95.12 | OK
AlgoExtra_pascal_triangle_generate_pascal_triangle_optimized_057,94.51,AlgoExtra_pascal_triangle_generate_pascal_triangle_optimized_057	94.51 | OK
AlgoExtra_perfect_cube_perfect_cube_binary_search_043,100.00,AlgoExtra_perfect_cube_perfect_cube_binary_search_043	100.00 | OK
AlgoExtra_pi_generator_calculate_pi_054,93.02,AlgoExtra_pi_generator_calculate_pi_054	93.02 | OK
AlgoExtra_pollard_rho_pollard_rho_011,100.00,AlgoExtra_pollard_rho_pollard_rho_011	100.00 | OK
AlgoExtra_polynomial_degree_replacement,100.00,AlgoExtra_polynomial_degree_replacement	100.00 | OK
AlgoExtra_power_iteration_power_iteration_015,53.33,AlgoExtra_power_iteration_power_iteration_015	53.33 | OK
AlgoExtra_prime_gap_classifier_replacement,100.00,AlgoExtra_prime_gap_classifier_replacement	100.00 | OK
AlgoExtra_proth_number_proth_019,100.00,AlgoExtra_proth_number_proth_019	100.00 | OK
AlgoExtra_rank_of_matrix_rank_of_matrix_009,100.00,AlgoExtra_rank_of_matrix_rank_of_matrix_009	100.00 | OK
AlgoExtra_segmented_sieve_sieve_003,100.00,AlgoExtra_segmented_sieve_sieve_003	100.00 | OK
AlgoExtra_shear_stress_shear_stress_022,100.00,AlgoExtra_shear_stress_shear_stress_022	100.00 | OK
AlgoExtra_sieve_of_eratosthenes_prime_sieve_013,100.00,AlgoExtra_sieve_of_eratosthenes_prime_sieve_013	100.00 | OK
AlgoExtra_simultaneous_linear_equation_solver_simplify_008,53.79,AlgoExtra_simultaneous_linear_equation_solver_simplify_008	53.79 | OK
AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001,90.91,AlgoExtra_simultaneous_linear_equation_solver_solve_simultaneous_001	90.91 | OK
AlgoExtra_solovay_strassen_primality_test_jacobi_symbol_020,100.00,AlgoExtra_solovay_strassen_primality_test_jacobi_symbol_020	100.00 | OK
AlgoExtra_solovay_strassen_primality_test_solovay_strassen_042,100.00,AlgoExtra_solovay_strassen_primality_test_solovay_strassen_042	100.00 | OK
AlgoExtra_three_sum_three_sum_005,93.94,AlgoExtra_three_sum_three_sum_005	93.94 | OK
AlgoExtra_triplet_sum_triplet_sum2_050,85.42,AlgoExtra_triplet_sum_triplet_sum2_050	85.42 | OK
AlgoExtra_vector_projection_replacement,100.00,AlgoExtra_vector_projection_replacement	100.00 | OK
AlgoExtra_weierstrass_method_weierstrass_method_053,89.29,AlgoExtra_weierstrass_method_weierstrass_method_053	89.29 | OK
AlgoExtra_weird_number_semi_perfect_025,97.67,AlgoExtra_weird_number_semi_perfect_025	97.67 | OK
CodaCover_ansible_mathstuff,86.89,CodaCover_ansible_mathstuff	86.89 | OK
CodaCover_ansible_stats,60.47,CodaCover_ansible_stats	60.47 | OK
CodaCover_flutes_math,100.00,CodaCover_flutes_math	100.00 | OK
CodaCover_keras_activations,70.59,CodaCover_keras_activations	70.59 | OK
CodaCover_keras_losses,62.86,CodaCover_keras_losses	62.86 | OK
CodaCover_matplotlib_bezier,42.31,CodaCover_matplotlib_bezier	42.31 | OK
CodaCover_matplotlib_colors,100.00,CodaCover_matplotlib_colors	100.00 | OK
CodaCover_matplotlib_scale,100.00,CodaCover_matplotlib_scale	100.00 | OK
CodaCover_matplotlib_ticker,100.00,CodaCover_matplotlib_ticker	100.00 | OK
CodaCover_matplotlib_transform,100.00,CodaCover_matplotlib_transform	100.00 | OK
CodaCover_matplotlib_triangles,35.48,CodaCover_matplotlib_triangles	35.48 | OK
CodaCover_mimesis_random,95.74,CodaCover_mimesis_random	95.74 | OK
CodaCover_pandas_algorithms,100.00,CodaCover_pandas_algorithms	100.00 | OK
CodaCover_pandas_interval,86.36,CodaCover_pandas_interval	86.36 | OK
CodaCover_pandas_nanops,100.00,CodaCover_pandas_nanops	100.00 | OK
CodaCover_pandas_numeric_array,84.21,CodaCover_pandas_numeric_array	84.21 | OK
CodaCover_pandas_tile,100.00,CodaCover_pandas_tile	100.00 | OK
CodaCover_pypara_numbers,96.43,CodaCover_pypara_numbers	96.43 | OK
CodaCover_scipy_sparse_shape,96.00,CodaCover_scipy_sparse_shape	96.00 | OK
CodaCover_scipy_stats_basic,95.56,CodaCover_scipy_stats_basic	95.56 | OK
CodaExtra_activation_branch,85.00,CodaExtra_activation_branch	85.00 | OK
CodaExtra_bezier_flatness,100.00,CodaExtra_bezier_flatness	100.00 | OK
CodaExtra_color_scale_numeric,100.00,CodaExtra_color_scale_numeric	100.00 | OK
CodaExtra_interval_overlap,100.00,CodaExtra_interval_overlap	100.00 | OK
CodaExtra_nan_policy,80.00,CodaExtra_nan_policy	80.00 | OK
CodaExtra_numeric_tile,76.19,CodaExtra_numeric_tile	76.19 | OK
CodaExtra_random_choice_weight,92.00,CodaExtra_random_choice_weight	92.00 | OK
CodaExtra_tick_locator,100.00,CodaExtra_tick_locator	100.00 | OK
FiPyExtra_boundary_mask,100.00,FiPyExtra_boundary_mask	100.00 | OK
FiPyExtra_coefficient_shape,90.00,FiPyExtra_coefficient_shape	90.00 | OK
FiPyExtra_diffusion_tensor,90.48,FiPyExtra_diffusion_tensor	90.48 | OK
FiPyExtra_face_gradient,73.68,FiPyExtra_face_gradient	73.68 | OK
FiPyExtra_mesh_spacing_quality,89.47,FiPyExtra_mesh_spacing_quality	89.47 | OK
FiPyExtra_source_balance,100.00,FiPyExtra_source_balance	100.00 | OK
FiPyExtra_term_underrelax,100.00,FiPyExtra_term_underrelax	100.00 | OK
FiPyExtra_variable_constraint,100.00,FiPyExtra_variable_constraint	100.00 | OK
FiPy_boundary_conditions,75.68,FiPy_boundary_conditions	75.68 | OK
FiPy_cahn_hilliard_potential,100.00,"FiPy_cahn_hilliard_potential	100.00 | PYTEST_FAIL | 312\Lib\site-packages\_pytest\cacheprovider.py:475: PytestCacheWarning: could not create cache path <ARTIFACT_ROOT>\scientific_calculation\FiPy_cahn_hilliard_potential\.pytest_cache\v\cache\nodeids: [WinError 5] 拒绝访问。: 'D:\\ANONYMOUS_USER\\pycharm\\BCBT\\scientific_calculation\\FiPy_cahn_hilliard_potential\\pytest-cache-files-v1ufgq2f' |     config.cache.set(""cache/nodeids"", sorted(self.cached_nodeids)) |  | <USER_HOME>\AppData\Local\Programs\Python\Python312\Lib\site-packages\_pytest\cacheprovider.py:429 |   <USER_HOME>\AppData\Local\Programs\Python\Python312\Lib\site-packages\_pytest\cacheprovider.py:429: PytestCacheWarning: could not create cache path <ARTIFACT_ROOT>\scientific_calculation\FiPy_cahn_hilliard_potential\.pytest_cache\v\cache\lastfailed: [WinError 5] 拒绝访问。: 'D:\\ANONYMOUS_USER\\pycharm\\BCBT\\scientific_calculation\\FiPy_cahn_hilliard_potential\\pytest-cache-files-xg_mgfd4' |     config.cache.set(""cache/lastfailed"", self.lastfailed) |  | -- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html | =========================== short test summary info =========================== | FAILED pynguin/result_4o/test_example.py::test_case_0 | 1 failed, 1 passed, 6 xfailed, 2 warnings in 0.64s | "
FiPy_chemotaxis_update,100.00,FiPy_chemotaxis_update	100.00 | OK
FiPy_convection_upwind,92.86,FiPy_convection_upwind	92.86 | OK
FiPy_diffusion_steady_state,94.59,FiPy_diffusion_steady_state	94.59 | OK
FiPy_level_set_distance,100.00,FiPy_level_set_distance	100.00 | OK
FiPy_mesh_spacing,100.00,FiPy_mesh_spacing	100.00 | OK
FiPy_phase_anisotropy,100.00,FiPy_phase_anisotropy	100.00 | OK
FiPy_residual_norm,93.33,FiPy_residual_norm	93.33 | OK
FiPy_source_term_balance,100.00,FiPy_source_term_balance	100.00 | OK
NumPy_arraysetops_unique,86.05,NumPy_arraysetops_unique	86.05 | OK
NumPy_arrayterator_slice,100.00,NumPy_arrayterator_slice	100.00 | OK
NumPy_covariance_helper,100.00,NumPy_covariance_helper	100.00 | OK
NumPy_histogram_edges,95.12,NumPy_histogram_edges	95.12 | OK
NumPy_iotools_converter,100.00,NumPy_iotools_converter	100.00 | OK
NumPy_masked_mean_var,100.00,NumPy_masked_mean_var	100.00 | OK
NumPy_nanfunctions_remove,100.00,NumPy_nanfunctions_remove	100.00 | OK
NumPy_pad_pairs,85.71,NumPy_pad_pairs	85.71 | OK
NumPy_polynomial_format,100.00,NumPy_polynomial_format	100.00 | OK
NumPy_quantile_validate,100.00,NumPy_quantile_validate	100.00 | OK
NumPy_twodim_diag,100.00,NumPy_twodim_diag	100.00 | OK
NumPy_version_compare,95.35,NumPy_version_compare	95.35 | OK
NumericalExtra_4th_order_runge_kutta_runge_method_010,100.00,NumericalExtra_4th_order_runge_kutta_runge_method_010	100.00 | OK
NumericalExtra_GECP_gaussian_elimination_complete_pivoting_001,96.43,NumericalExtra_GECP_gaussian_elimination_complete_pivoting_001	96.43 | OK
NumericalExtra_Gram_Schmidt_QR_gram_schmidt_factorization_006,79.31,NumericalExtra_Gram_Schmidt_QR_gram_schmidt_factorization_006	79.31 | OK
NumericalExtra_bisection_bisection_003,21.74,NumericalExtra_bisection_bisection_003	21.74 | OK
NumericalExtra_guass_seidel_gauss_seidel_002,60.87,NumericalExtra_guass_seidel_gauss_seidel_002	60.87 | OK
NumericalExtra_householder_qr_decomposition_householder_qr_decomposition_009,80.00,NumericalExtra_householder_qr_decomposition_householder_qr_decomposition_009	80.00 | OK
NumericalExtra_jacobi_jacobi_005,42.86,NumericalExtra_jacobi_jacobi_005	42.86 | OK
NumericalExtra_lagrange_interpolation_lagrange_interpolation_008,100.00,NumericalExtra_lagrange_interpolation_lagrange_interpolation_008	100.00 | OK
NumericalExtra_newton_divided_difference_divided_diff_004,100.00,NumericalExtra_newton_divided_difference_divided_diff_004	100.00 | OK
NumericalExtra_quadrature_error_replacement,100.00,NumericalExtra_quadrature_error_replacement	100.00 | OK
NumericalExtra_secant_step_replacement,100.00,NumericalExtra_secant_step_replacement	100.00 | OK
PDEBench_advection_step,92.50,PDEBench_advection_step	92.50 | OK
PDEBench_boundary_selector,90.48,PDEBench_boundary_selector	90.48 | OK
PDEBench_burgers_flux,100.00,PDEBench_burgers_flux	100.00 | OK
PDEBench_cfl_condition,100.00,PDEBench_cfl_condition	100.00 | OK
PDEBench_diffusion_step,91.89,PDEBench_diffusion_step	91.89 | OK
PDEBench_grid_initializer,100.00,PDEBench_grid_initializer	100.00 | OK
PDEBench_reaction_diffusion_update,100.00,PDEBench_reaction_diffusion_update	100.00 | OK
PDEBench_residual_error,83.87,PDEBench_residual_error	83.87 | OK
PDEExtra_advection_limiter,88.57,PDEExtra_advection_limiter	88.57 | OK
PDEExtra_boundary_stencil,87.50,PDEExtra_boundary_stencil	87.50 | OK
PDEExtra_cfl_classifier,100.00,PDEExtra_cfl_classifier	100.00 | OK
PDEExtra_grid_refine,100.00,PDEExtra_grid_refine	100.00 | OK
PDEExtra_poisson_relax,100.00,PDEExtra_poisson_relax	100.00 | OK
PDEExtra_reaction_source,100.00,PDEExtra_reaction_source	100.00 | OK
PDEExtra_residual_stop,100.00,PDEExtra_residual_stop	100.00 | OK
PDEExtra_shock_sensor,100.00,PDEExtra_shock_sensor	100.00 | OK
SciPy_binned_statistic_edges,80.00,SciPy_binned_statistic_edges	80.00 | OK
SciPy_chandrupatla_validate,100.00,SciPy_chandrupatla_validate	100.00 | OK
SciPy_continued_fraction,100.00,SciPy_continued_fraction	100.00 | OK
SciPy_cubic_boundary,68.18,SciPy_cubic_boundary	68.18 | OK
SciPy_finite_difference_derivative,100.00,SciPy_finite_difference_derivative	100.00 | OK
SciPy_group_columns_sparse,100.00,SciPy_group_columns_sparse	100.00 | OK
SciPy_huber_loss,100.00,SciPy_huber_loss	100.00 | OK
SciPy_linalg_toeplitz_validate,100.00,SciPy_linalg_toeplitz_validate	100.00 | OK
SciPy_optimize_bounds,100.00,SciPy_optimize_bounds	100.00 | OK
SciPy_signal_chirp_phase,69.44,SciPy_signal_chirp_phase	69.44 | OK
SciPy_sparse_norm,100.00,SciPy_sparse_norm	100.00 | OK
SciPy_wilcoxon_rank,91.67,SciPy_wilcoxon_rank	91.67 | OK
SfePyExtra_contact_penalty,100.00,SfePyExtra_contact_penalty	100.00 | OK
SfePyExtra_dof_map,100.00,SfePyExtra_dof_map	100.00 | OK
SfePyExtra_element_quality,100.00,SfePyExtra_element_quality	100.00 | OK
SfePyExtra_material_update,100.00,SfePyExtra_material_update	100.00 | OK
SfePyExtra_newton_status,100.00,SfePyExtra_newton_status	100.00 | OK
SfePyExtra_quadrature_order,100.00,SfePyExtra_quadrature_order	100.00 | OK
SfePyExtra_region_selector,100.00,SfePyExtra_region_selector	100.00 | OK
SfePyExtra_tensor_symmetry,88.24,SfePyExtra_tensor_symmetry	88.24 | OK
SfePy_axisymmetric_stress,100.00,SfePy_axisymmetric_stress	100.00 | OK
SfePy_biot_coupling,100.00,"SfePy_biot_coupling	100.00 | PYTEST_FAIL | AppData\Local\Programs\Python\Python312\Lib\site-packages\_pytest\cacheprovider.py:475: PytestCacheWarning: could not create cache path <ARTIFACT_ROOT>\scientific_calculation\SfePy_biot_coupling\.pytest_cache\v\cache\nodeids: [WinError 5] 拒绝访问。: 'D:\\ANONYMOUS_USER\\pycharm\\BCBT\\scientific_calculation\\SfePy_biot_coupling\\pytest-cache-files-e_pj6v2q' |     config.cache.set(""cache/nodeids"", sorted(self.cached_nodeids)) |  | <USER_HOME>\AppData\Local\Programs\Python\Python312\Lib\site-packages\_pytest\cacheprovider.py:429 |   <USER_HOME>\AppData\Local\Programs\Python\Python312\Lib\site-packages\_pytest\cacheprovider.py:429: PytestCacheWarning: could not create cache path <ARTIFACT_ROOT>\scientific_calculation\SfePy_biot_coupling\.pytest_cache\v\cache\lastfailed: [WinError 5] 拒绝访问。: 'D:\\ANONYMOUS_USER\\pycharm\\BCBT\\scientific_calculation\\SfePy_biot_coupling\\pytest-cache-files-suvjafef' |     config.cache.set(""cache/lastfailed"", self.lastfailed) |  | -- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html | =========================== short test summary info =========================== | FAILED pynguin/result_4o/test_example.py::test_case_1 | 1 failed, 2 passed, 8 xfailed, 2 warnings in 0.67s | "
SfePy_boundary_region_selector,88.57,SfePy_boundary_region_selector	88.57 | OK
SfePy_dg_advection_flux,100.00,SfePy_dg_advection_flux	100.00 | OK
SfePy_elastic_strain_energy,100.00,SfePy_elastic_strain_energy	100.00 | OK
SfePy_laplace_dirichlet,83.33,SfePy_laplace_dirichlet	83.33 | OK
SfePy_material_coefficient,92.86,SfePy_material_coefficient	92.86 | OK
SfePy_mesh_refinement_indicator,100.00,SfePy_mesh_refinement_indicator	100.00 | OK
SfePy_piezoelectric_coupling,83.78,SfePy_piezoelectric_coupling	83.78 | OK
SfePy_residual_convergence,100.00,SfePy_residual_convergence	100.00 | OK
TBCExtra_cholesky_check,100.00,TBCExtra_cholesky_check	100.00 | OK
TBCExtra_integral_rule,100.00,TBCExtra_integral_rule	100.00 | OK
TBCExtra_lu_diagonal,100.00,TBCExtra_lu_diagonal	100.00 | OK
TBCExtra_matrix_condition,100.00,TBCExtra_matrix_condition	100.00 | OK
TBCExtra_pivot_strategy,27.27,TBCExtra_pivot_strategy	27.27 | OK
TBCExtra_root_bracket,100.00,TBCExtra_root_bracket	100.00 | OK
TBCExtra_step_controller,100.00,TBCExtra_step_controller	100.00 | OK
TBCExtra_vector_norm,93.75,TBCExtra_vector_norm	93.75 | OK
