program,example_branch_cover_pct,notes,coverup_branch_numeric,coverup_valid_numeric
2DJacobiPoissonSolver,100.00,2DJacobiPoissonSolver	100.00 | OK,100.00,1
AlgoExtra_arithmetic_is_arithmetic_series_047,100.00,AlgoExtra_arithmetic_is_arithmetic_series_047	100.00 | OK,100.00,1
AlgoExtra_bailey_borwein_plouffe_bailey_borwein_plouffe_056,100.00,AlgoExtra_bailey_borwein_plouffe_bailey_borwein_plouffe_056	100.00 | OK,100.00,1
AlgoExtra_basic_maths_number_of_divisors_046,69.15,AlgoExtra_basic_maths_number_of_divisors_046	69.15 | OK,69.15,1
AlgoExtra_basic_maths_prime_factors_048,69.15,AlgoExtra_basic_maths_prime_factors_048	69.15 | OK,69.15,1
AlgoExtra_basic_maths_sum_of_divisors_026,100.00,AlgoExtra_basic_maths_sum_of_divisors_026	100.00 | OK,100.00,1
AlgoExtra_binomial_coefficient_binomial_coefficient_034,100.00,AlgoExtra_binomial_coefficient_binomial_coefficient_034	100.00 | OK,100.00,1
AlgoExtra_binomial_distribution_binomial_distribution_028,100.00,AlgoExtra_binomial_distribution_binomial_distribution_028	100.00 | OK,100.00,1
AlgoExtra_bisection_bisection_023,100.00,AlgoExtra_bisection_bisection_023	100.00 | OK,100.00,1
AlgoExtra_bisection_interval_replacement,3.85,AlgoExtra_bisection_interval_replacement	3.85 | PYTEST_FAIL |  | no tests ran in 0.05s | ,3.85,1
AlgoExtra_casimir_effect_casimir_force_012,94.59,AlgoExtra_casimir_effect_casimir_force_012	94.59 | OK,94.59,1
AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021,100.00,AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021	100.00 | OK,100.00,1
AlgoExtra_cramers_rule_2x2_cramers_rule_2x2_031,100.00,AlgoExtra_cramers_rule_2x2_cramers_rule_2x2_031	100.00 | OK,100.00,1
AlgoExtra_entropy_calculate_prob_032,100.00,AlgoExtra_entropy_calculate_prob_032	100.00 | OK,100.00,1
AlgoExtra_eulers_totient_totient_044,96.15,AlgoExtra_eulers_totient_totient_044	96.15 | OK,96.15,1
AlgoExtra_extended_euclidean_algorithm_extended_euclidean_algorithm_035,100.00,AlgoExtra_extended_euclidean_algorithm_extended_euclidean_algorithm_035	100.00 | OK,100.00,1
AlgoExtra_factors_factors_of_a_number_049,100.00,AlgoExtra_factors_factors_of_a_number_049	100.00 | OK,100.00,1
AlgoExtra_find_max_find_max_recursive_037,100.00,AlgoExtra_find_max_find_max_recursive_037	100.00 | OK,100.00,1
AlgoExtra_find_min_find_min_recursive_038,100.00,AlgoExtra_find_min_find_min_recursive_038	100.00 | OK,100.00,1
AlgoExtra_gamma_gamma_recursive_036,100.00,AlgoExtra_gamma_gamma_recursive_036	100.00 | OK,100.00,1
AlgoExtra_gaussian_elimination_pivoting_solve_linear_system_006,100.00,AlgoExtra_gaussian_elimination_pivoting_solve_linear_system_006	100.00 | OK,100.00,1
AlgoExtra_geometric_is_geometric_series_024,100.00,AlgoExtra_geometric_is_geometric_series_024	100.00 | OK,100.00,1
AlgoExtra_geometric_mean_compute_geometric_mean_014,96.00,AlgoExtra_geometric_mean_compute_geometric_mean_014	96.00 | OK,96.00,1
AlgoExtra_hamming_numbers_hamming_041,100.00,AlgoExtra_hamming_numbers_hamming_041	100.00 | OK,100.00,1
AlgoExtra_hardy_ramanujanalgo_exact_prime_factor_count_027,100.00,AlgoExtra_hardy_ramanujanalgo_exact_prime_factor_count_027	100.00 | OK,100.00,1
AlgoExtra_harmonic_is_harmonic_series_010,100.00,AlgoExtra_harmonic_is_harmonic_series_010	100.00 | OK,100.00,1
AlgoExtra_harshad_numbers_int_to_base_039,100.00,AlgoExtra_harshad_numbers_int_to_base_039	100.00 | OK,100.00,1
AlgoExtra_horizontal_projectile_motion_check_args_051,89.19,AlgoExtra_horizontal_projectile_motion_check_args_051	89.19 | OK,89.19,1
AlgoExtra_integer_square_root_integer_square_root_018,100.00,AlgoExtra_integer_square_root_integer_square_root_018	100.00 | OK,100.00,1
AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033,100.00,AlgoExtra_is_ip_v4_address_valid_is_ip_v4_address_valid_033	100.00 | OK,100.00,1
AlgoExtra_jaccard_similarity_jaccard_similarity_016,100.00,AlgoExtra_jaccard_similarity_jaccard_similarity_016	100.00 | OK,100.00,1
