program,dataset_group,scope,entered_our_method,pynguin_branch,coverup_branch,codamosa_branch,our_branch,best_method,best_branch,our_improvement_over_pynguin,our_improvement_over_coverup,our_improvement_over_codamosa,coverup_status,codamosa_status,our_status,failure_summary,codamosa_llm_calls,codamosa_llm_query_time,codamosa_saved_tests
2DJacobiPoissonSolver,original,effective,True,90.48,100.00,90.91,100.00,coverup,100.00,9.52,0.00,9.09,ok,ok,improved,,50,182.52289652824402,2
AlgoExtra_arithmetic_is_arithmetic_series_047,new,global_only,False,100.00,100.00,94.12,100.00,pynguin,100.00,0.00,0.00,5.88,ok,ok,not_entered,,7,154.026465177536,
AlgoExtra_bailey_borwein_plouffe_bailey_borwein_plouffe_056,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
AlgoExtra_basic_maths_number_of_divisors_046,new,global_only,False,100.00,69.15,100.00,100.00,pynguin,100.00,0.00,30.85,0.00,ok,ok,not_entered,,,,
AlgoExtra_basic_maths_prime_factors_048,new,global_only,False,100.00,69.15,100.00,100.00,pynguin,100.00,0.00,30.85,0.00,ok,ok,not_entered,,,,
AlgoExtra_basic_maths_sum_of_divisors_026,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
AlgoExtra_binomial_coefficient_binomial_coefficient_034,new,global_only,False,100.00,100.00,86.67,100.00,pynguin,100.00,0.00,0.00,13.33,ok,ok,not_entered,,,,
AlgoExtra_binomial_distribution_binomial_distribution_028,new,effective,True,87.50,100.00,86.67,87.50,coverup,100.00,0.00,-12.50,0.83,ok,ok,no_improvement_kept_baseline,Our method:generated_tests_failed_then_filtered_no_improvement,18,115.97653841972351,44
AlgoExtra_bisection_bisection_023,new,effective,True,0.00,100.00,12.50,100.00,coverup,100.00,100.00,0.00,87.50,ok,ok,improved,,11,161.6765742301941,2
AlgoExtra_bisection_interval_replacement,new,global_only,False,100.00,3.85,93.33,100.00,pynguin,100.00,0.00,96.15,6.67,failure_or_warning,ok,not_entered,CoverUp:no_tests_collected,11,111.08547258377075,1
AlgoExtra_casimir_effect_casimir_force_012,new,effective,True,92.86,94.59,93.33,92.86,coverup,94.59,0.00,-1.73,-0.47,ok,ok,no_improvement_kept_baseline,Our method:generated_tests_failed_then_filtered_no_improvement,18,102.66599893569946,
AlgoExtra_count_negative_numbers_in_sorted_matrix_find_negative_index_021,new,effective,True,77.78,100.00,93.02,94.44,coverup,100.00,16.66,-5.56,1.42,ok,ok,improved,,,,
AlgoExtra_cramers_rule_2x2_cramers_rule_2x2_031,new,effective,True,90.00,100.00,86.96,90.00,coverup,100.00,0.00,-10.00,3.04,ok,ok,no_improvement_kept_baseline,Our method:generated_tests_failed_then_filtered_no_improvement,12,191.62646579742432,31
AlgoExtra_entropy_calculate_prob_032,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
AlgoExtra_eulers_totient_totient_044,new,effective,True,90.00,96.15,93.33,90.00,coverup,96.15,0.00,-6.15,-3.33,ok,ok,no_improvement_kept_baseline,Our method:generated_tests_failed_then_filtered_no_improvement,,,
AlgoExtra_extended_euclidean_algorithm_extended_euclidean_algorithm_035,new,effective,True,83.33,100.00,86.67,100.00,coverup,100.00,16.67,0.00,13.33,ok,ok,improved,,7,118.58717679977417,1
AlgoExtra_factors_factors_of_a_number_049,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
AlgoExtra_find_max_find_max_recursive_037,new,global_only,False,100.00,100.00,,100.00,pynguin,100.00,0.00,0.00,,ok,missing_statistics,not_entered,CodaMOSA:codamosa_empty_seed_bug,,,
AlgoExtra_find_min_find_min_recursive_038,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
AlgoExtra_gamma_gamma_recursive_036,new,global_only,False,100.00,100.00,100.00,100.00,pynguin,100.00,0.00,0.00,0.00,ok,ok,not_entered,,,,
AlgoExtra_gaussian_elimination_pivoting_solve_linear_system_006,new,effective,True,94.44,100.00,5.26,100.00,coverup,100.00,5.56,0.00,94.74,ok,ok,improved,,13,110.33860182762146,1
