program,example_branch_cover_pct,notes
2DJacobiPoissonSolver,90.48,"2DJacobiPoissonSolver	90.48 | PYTEST_FAIL | F...F                                                                    [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: 'bool' object is not ... | FAILED result/test_example.py::test_case_4 - TypeError: only integer scalar a... | 2 failed, 3 passed in 1.65s | "
CG_general,13.43,CG_general	13.43 | PYTEST_FAIL | FFF                                                                      [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - AttributeError: 'NoneType' objec... | FAILED result/test_example.py::test_case_1 - AttributeError: 'str' object has... | FAILED result/test_example.py::test_case_2 - AttributeError: 'str' object has... | 3 failed in 2.53s | 
EigenvalueSolvers,12.77,EigenvalueSolvers	12.77 | PYTEST_FAIL | F                                                                        [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - AttributeError: 'int' object has... | 1 failed in 1.11s | 
euler_diffusion,100.00,euler_diffusion	100.00 | PYTEST_FAIL | FFF                                                                      [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: can't multiply sequen... | FAILED result/test_example.py::test_case_1 - TypeError: unsupported operand t... | FAILED result/test_example.py::test_case_2 - TypeError: object of type 'NoneT... | 3 failed in 1.10s | 
GaussianElimination1,30.00,GaussianElimination1	30.00 | PYTEST_FAIL | F                                                                        [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: object of type 'NoneT... | 1 failed in 1.05s | 
GaussianElimination2,27.27,GaussianElimination2	27.27 | PYTEST_FAIL | F                                                                        [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - AttributeError: 'bool' object ha... | 1 failed in 1.45s | 
GaussianElimination3,23.08,GaussianElimination3	23.08 | PYTEST_FAIL | F                                                                        [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - AttributeError: 'NoneType' objec... | 1 failed in 1.07s | 
integrator1,71.34,"integrator1	71.34 | PYTEST_FAIL | F.........FF......FFF.FF                                                 [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: can't multiply sequen... | FAILED result/test_example.py::test_case_10 - TypeError: object of type 'int'... | FAILED result/test_example.py::test_case_11 - TypeError: object of type 'bool... | FAILED result/test_example.py::test_case_18 - TypeError: 'bool' object is not... | FAILED result/test_example.py::test_case_19 - ZeroDivisionError: division by ... | FAILED result/test_example.py::test_case_20 - TypeError: 'float' object is no... | FAILED result/test_example.py::test_case_22 - TypeError: 'NoneType' object is... | FAILED result/test_example.py::test_case_23 - TypeError: '<=' not supported b... | 8 failed, 16 passed in 1.50s | "
integrator2,65.00,integrator2	65.00 | PYTEST_FAIL | FFF                                                                      [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - ValueError: could not convert st... | FAILED result/test_example.py::test_case_1 - ZeroDivisionError: float divisio... | FAILED result/test_example.py::test_case_2 - TypeError: 'int' object is not c... | 3 failed in 1.05s | 
integrator3,21.74,integrator3	21.74 | PYTEST_FAIL | F                                                                        [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: unsupported operand t... | 1 failed in 0.79s | 
integrator4,40.00,integrator4	40.00 | PYTEST_FAIL | F                                                                        [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: 'bytes' object is not... | 1 failed in 0.79s | 
integrator5,100.00,"integrator5	100.00 | PYTEST_FAIL | FF.FF                                                                    [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: unsupported operand t... | FAILED result/test_example.py::test_case_1 - TypeError: unsupported operand t... | FAILED result/test_example.py::test_case_3 - TypeError: unsupported operand t... | FAILED result/test_example.py::test_case_4 - TypeError: unsupported operand t... | 4 failed, 1 passed in 1.24s | "
integrator6,13.04,"integrator6	13.04 | PYTEST_FAIL | F                                                                        [100%] | =========================== short test summary info =========================== | FAILED result/test_example.py::test_case_0 - TypeError: must be real number, ... | 1 failed in 0.80s | "
